Bacteria Name,gyrA,parC
Clostridium perfringens,83,91
Haemophilus influenzae,80,89
Morganella morganii,83,89
Aerococcus urinae,87,94
Staphylococcus saprophyticus,88,95
Staphylococcus aureus,88,94
Staphylococcus hominis,88,94
Staphylococcus haemolyticus,88,94
Enterococcus faecalis,87,95
Streptococcus mitis,88,95
Streptococcus viridans,88,95
Streptococcus pyogenes,88,95
Streptococcus agalactiae,87,94
Neisseria gonorrhoeae,87,93
Neisseria meningitidis,87,95
Alcaligenes faecalis,88,95
Haemophilus parainfluenzae,88,94
Serratia liquefaciens,89,96
Serratia marcescens,89,96
Shigella flexneri,89,96
Shigella sonnei,89,96
Enterobacter cloacae,89,94
Klebsiella pneumoniae,89,96
Klebsiella oxytoca,89,96
Citrobacter braakii,89,96
Citrobacter freundii,89,96
Moraxella catarrhalis,88,94
Acinetobacter lwoffii,89,93
